Tweet_count,ID,Username,Text,Created At,Retweets,Likes
1,1905399600506101923,Elon Musk,"Cool, @Grok is #1 on Android! https://t.co/RLn9Da5EdN",Thu Mar 27 23:20:40 +0000 2025,17560,256368
2,1905025427384807617,Elon Musk,Theme of the day https://t.co/2ioG0StAxL,Wed Mar 26 22:33:50 +0000 2025,44840,599925
3,1905679299966914783,Elon Musk,"Take a tequila shot every time Obama said “government efficiency” 
 https://t.co/gFLaK2Iwbb",Fri Mar 28 17:52:05 +0000 2025,34197,217046
4,1905906539572887587,Elon Musk,Starlink now in Azerbaijan 🇦🇿!,Sat Mar 29 08:55:03 +0000 2025,9209,95828
5,1905731750275510312,Elon Musk,"@xAI has acquired @X in an all-stock transaction. The combination values xAI at $80 billion and X at $33 billion ($45B less $12B debt). 

Since its founding two years ago, xAI has rapidly become one of the leading AI labs in the world, building models and data centers at",Fri Mar 28 21:20:30 +0000 2025,32812,244779
6,1906096888560165107,Elon Musk,Everything is computer,Sat Mar 29 21:31:26 +0000 2025,7506,87803
7,1905310258576109822,Elon Musk,Starlink now available in Oman!,Thu Mar 27 17:25:39 +0000 2025,6813,68536
8,1905789301557715397,Elon Musk,"Even more important than the Wisconsin Supreme Court race is the ballot initiative to add voter ID to the state constitution, which will ensure integrity in elections. 

Both are decided on April 1st. 

Very important to vote and encourage anyone you know in Wisconsin to vote!",Sat Mar 29 01:09:12 +0000 2025,36544,143142
9,1905319313482924318,Elon Musk,Starlink now active in Armenia!,Thu Mar 27 18:01:38 +0000 2025,7905,69606
10,1905784244947112297,Elon Musk,Yeah https://t.co/t2faGIdlup,Sat Mar 29 00:49:06 +0000 2025,17905,245486
11,1906098459767419195,Elon Musk,"First time humans will be in polar orbit around Earth launches on Monday!

@framonauts",Sat Mar 29 21:37:41 +0000 2025,20498,157524
12,1905591707036443031,Elon Musk,Correct,Fri Mar 28 12:04:01 +0000 2025,46338,159691
13,1906103057466659300,Elon Musk,"The goal of the left is to destroy my influence. 

So they relentlessly push negative propaganda about me like the fake Nazi stuff and ignore anything positive. 

They are evil.",Sat Mar 29 21:55:57 +0000 2025,58212,320409
14,1905616665766740084,Elon Musk,Such hypocrisy,Fri Mar 28 13:43:12 +0000 2025,52167,386008
15,1906103511827292374,Elon Musk,Interesting 🤔,Sat Mar 29 21:57:45 +0000 2025,41795,234625
16,1905597014659707057,Elon Musk,AppLovin CEO uses Grok 3 https://t.co/aBUxHSs1XW,Fri Mar 28 12:25:07 +0000 2025,2579,15083
17,1905264864408256980,Elon Musk,Amazing,Thu Mar 27 14:25:16 +0000 2025,31651,144051
18,1905524404999639476,Elon Musk,"Congratulations, Scott Ainsworth of Green Bay!",Fri Mar 28 07:36:35 +0000 2025,17573,116470
19,1906096684955775326,Elon Musk,True https://t.co/DWUadoe6mQ,Sat Mar 29 21:30:37 +0000 2025,14021,96023
20,1905021584064356526,Elon Musk,@DefiantLs We got a ringer here! @IfindRetards,Wed Mar 26 22:18:33 +0000 2025,1828,35392
21,1905399600506101923,Elon Musk,"Cool, @Grok is #1 on Android! https://t.co/RLn9Da5EdN",Thu Mar 27 23:20:40 +0000 2025,17561,256368
22,1905025427384807617,Elon Musk,Theme of the day https://t.co/2ioG0StAxL,Wed Mar 26 22:33:50 +0000 2025,44841,599926
23,1905679299966914783,Elon Musk,"Take a tequila shot every time Obama said “government efficiency” 
 https://t.co/gFLaK2Iwbb",Fri Mar 28 17:52:05 +0000 2025,34197,217046
24,1905906539572887587,Elon Musk,Starlink now in Azerbaijan 🇦🇿!,Sat Mar 29 08:55:03 +0000 2025,9209,95828
25,1905731750275510312,Elon Musk,"@xAI has acquired @X in an all-stock transaction. The combination values xAI at $80 billion and X at $33 billion ($45B less $12B debt). 

Since its founding two years ago, xAI has rapidly become one of the leading AI labs in the world, building models and data centers at",Fri Mar 28 21:20:30 +0000 2025,32812,244779
26,1906096888560165107,Elon Musk,Everything is computer,Sat Mar 29 21:31:26 +0000 2025,7506,87803
27,1905310258576109822,Elon Musk,Starlink now available in Oman!,Thu Mar 27 17:25:39 +0000 2025,6814,68537
28,1905319313482924318,Elon Musk,Starlink now active in Armenia!,Thu Mar 27 18:01:38 +0000 2025,7906,69606
29,1905784244947112297,Elon Musk,Yeah https://t.co/t2faGIdlup,Sat Mar 29 00:49:06 +0000 2025,17905,245486
30,1906098459767419195,Elon Musk,"First time humans will be in polar orbit around Earth launches on Monday!

@framonauts",Sat Mar 29 21:37:41 +0000 2025,20498,157524
31,1905789301557715397,Elon Musk,"Even more important than the Wisconsin Supreme Court race is the ballot initiative to add voter ID to the state constitution, which will ensure integrity in elections. 

Both are decided on April 1st. 

Very important to vote and encourage anyone you know in Wisconsin to vote!",Sat Mar 29 01:09:12 +0000 2025,36544,143142
32,1905591707036443031,Elon Musk,Correct,Fri Mar 28 12:04:01 +0000 2025,46338,159691
33,1906103057466659300,Elon Musk,"The goal of the left is to destroy my influence. 

So they relentlessly push negative propaganda about me like the fake Nazi stuff and ignore anything positive. 

They are evil.",Sat Mar 29 21:55:57 +0000 2025,58212,320409
34,1905616665766740084,Elon Musk,Such hypocrisy,Fri Mar 28 13:43:12 +0000 2025,52167,386008
35,1906103511827292374,Elon Musk,Interesting 🤔,Sat Mar 29 21:57:45 +0000 2025,41795,234625
36,1905597014659707057,Elon Musk,AppLovin CEO uses Grok 3 https://t.co/aBUxHSs1XW,Fri Mar 28 12:25:07 +0000 2025,2579,15083
37,1905264864408256980,Elon Musk,Amazing,Thu Mar 27 14:25:16 +0000 2025,31652,144051
38,1905524404999639476,Elon Musk,"Congratulations, Scott Ainsworth of Green Bay!",Fri Mar 28 07:36:35 +0000 2025,17573,116470
39,1906096684955775326,Elon Musk,True https://t.co/DWUadoe6mQ,Sat Mar 29 21:30:37 +0000 2025,14021,96023
40,1905021584064356526,Elon Musk,@DefiantLs We got a ringer here! @IfindRetards,Wed Mar 26 22:18:33 +0000 2025,1828,35392
